country,type,y,a,I,SN,A,PBC,O
United Kingdom,3,-0.9947349,-0.9947,1,0.213499714,0.12420155,0.212383944,0.220456523
United Kingdom,3,-0.9947349,-0.9947,1,0.231339869,0.121838263,0.203137756,0.216336741
United States,3,0,-0.9947,0,0.212598393,0.112212562,0.219634211,0.23963418
United States,3,-0.9947349,-0.9947,1,0.212003238,0.120419614,0.21685339,0.247813814
United States,3,-0.9947349,-0.9947,1,0.216692766,0.116388599,0.223968053,0.20650614
United States,3,-0.9947349,-0.9947,1,0.221700116,0.121500327,0.238057566,0.231338472
United States,3,-0.9947349,-0.9947,1,0.217432675,0.121291587,0.225013176,0.225038873
United States,3,-0.9947349,-0.9947,1,0.223973733,0.123185633,0.226203404,0.226728624
United States,3,-0.9947349,-0.9947,1,0.228883698,0.122338564,0.215258744,0.224103669
United States,3,-0.9947349,-0.9947,1,0.23401206,0.123441392,0.225029047,0.223931469
United States,3,-0.9947349,-0.9947,1,0.224849442,0.12571491,0.220568598,0.2206797
United States,3,-0.9947349,-0.9947,1,0.225957256,0.123117078,0.225734219,0.228665428
United States,3,-0.9947349,-0.9947,1,0.231050994,0.122831841,0.229726325,0.231263111
United States,3,-0.9947349,-0.9947,1,0.228680454,0.123947807,0.230125053,0.234244471
United States,3,-0.9947349,-0.9947,1,0.22675594,0.121914912,0.221715236,0.21513298
United States,3,-0.9947349,-0.9947,1,0.226311125,0.119456532,0.235127429,0.224578672
United States,3,-0.9947349,-0.9947,1,0.227934862,0.125260709,0.227186304,0.220395299
United States,3,-0.9947349,-0.9947,1,0.232548458,0.120712025,0.223921442,0.224488614
United States,3,-0.9947349,-0.9947,1,0.23315102,0.123507704,0.216601262,0.237776426
United States,3,-0.9947349,-0.9947,1,0.222329767,0.117488943,0.221498381,0.228332969
United States,3,-0.9947349,-0.9947,1,0.219701421,0.123217307,0.217628614,0.220030623
United States,3,-0.9947349,-0.9947,1,0.217668543,0.121437816,0.221743869,0.219492315
United States,3,-0.9947349,-0.9947,1,0.207348886,0.133944878,0.222740274,0.221819186
United States,3,-0.9947349,-0.9947,1,0.223089029,0.142453471,0.225218315,0.220952019
Australia,4,0.8717151,0.8717,1,0.219015034,0.11805792,0.213418598,0.23199813
Australia,4,0.8717151,0.8717,1,0.23775935,0.120421501,0.207833423,0.222925454
Australia,4,0.8717151,0.8717,1,0.298256462,0.109661712,0.213583667,0.253063398
Australia,4,0.8717151,0.8717,1,0.270954726,0.120492564,0.205933726,0.248635059
Australia,4,0.8717151,0.8717,1,0.244195294,0.115097014,0.218882383,0.282884078
Australia,4,0.8717151,0.8717,1,0.261638499,0.119431558,0.228779208,0.25631194
Australia,4,0.8717151,0.8717,1,0.208237526,0.117675674,0.210676113,0.243647705
Australia,4,0.8717151,0.8717,1,0.220616124,0.129436309,0.237022857,0.272200868
Australia,4,0.8717151,0.8717,1,0.210921691,0.132661471,0.214821447,0.234422956
Australia,4,0.8717151,0.8717,1,0.218046545,0.130340381,0.221746777,0.214235548
Australia,4,0.8717151,0.8717,1,0.245492923,0.123419756,0.250415656,0.261006246
Australia,4,0.8717151,0.8717,1,0.217999993,0.127990465,0.215693712,0.244004492
Australia,4,0.8717151,0.8717,1,0.255711388,0.1122728,0.226178093,0.273389576
Australia,4,0.8717151,0.8717,1,0.218432813,0.11467474,0.208863411,0.238717601
Australia,4,0.8717151,0.8717,1,0.223595872,0.113217486,0.21022741,0.248052992
Australia,4,0.8717151,0.8717,1,0.218607075,0.119474327,0.198216022,0.253670186
Australia,4,0.8717151,0.8717,1,0.265040524,0.122526822,0.202442155,0.258991165
Australia,4,0.8717151,0.8717,1,0.223655229,0.114580984,0.200122499,0.268814787
Australia,4,0.8717151,0.8717,1,0.202383194,0.116212722,0.215742216,0.242280787
Australia,4,0.8717151,0.8717,1,0.223514083,0.107557732,0.207272481,0.243814647
Australia,4,0.8717151,0.8717,1,0.206777619,0.117515098,0.205653532,0.231841791
Australia,4,0.8717151,0.8717,1,0.208206398,0.10638032,0.198179121,0.271899554
Australia,4,0.8717151,0.8717,1,0.217225792,0.112850191,0.209877609,0.253510924
Canada,4,0.8717151,0.8717,1,0.240051002,0.127428088,0.213170489,0.264031136
Canada,4,0.8717151,0.8717,1,0.235442026,0.096540542,0.216244037,0.227330113
Canada,4,0.8717151,0.8717,1,0.245339173,0.101999644,0.22793011,0.231543923
Canada,4,0.8717151,0.8717,1,0.262059575,0.102914491,0.224509338,0.274804821
Canada,4,0.8717151,0.8717,1,0.270191251,0.110663999,0.20305031,0.264189233
Canada,4,0.8717151,0.8717,1,0.234199585,0.123641162,0.236072004,0.260675694
Canada,4,0.8717151,0.8717,1,0.248742073,0.129426277,0.251363789,0.250030882
Canada,4,0.8717151,0.8717,1,0.227529129,0.116966931,0.247657907,0.250432402
Canada,4,0.8717151,0.8717,1,0.249331062,0.116721823,0.24801335,0.255005909
Canada,4,0.8717151,0.8717,1,0.224924625,0.100624662,0.211359814,0.230067817
Canada,4,0.8717151,0.8717,1,0.205319465,0.115519644,0.207045131,0.232401393
Canada,4,0.8717151,0.8717,1,0.218049354,0.114367988,0.225208309,0.258403118
Canada,4,0.8717151,0.8717,1,0.227332253,0.117326886,0.213409675,0.26825807
Canada,4,0.8717151,0.8717,1,0.265264821,0.122279005,0.234618597,0.276171688
Canada,4,0.8717151,0.8717,1,0.212494585,0.113263626,0.219968767,0.247725131
Canada,4,0.8717151,0.8717,1,0.228581852,0.107589259,0.2151576,0.243290561
Canada,4,0.8717151,0.8717,1,0.227999798,0.110625457,0.233773726,0.260334337
Canada,4,0.8717151,0.8717,1,0.211196166,0.120070651,0.227500968,0.248329353
Canada,4,0.8717151,0.8717,1,0.218146796,0.117434838,0.249435706,0.256596677
Canada,4,0.8717151,0.8717,1,0.223063491,0.117781685,0.2274932,0.235916786
Canada,4,0.8717151,0.8717,1,0.225809906,0.122640483,0.232202711,0.216332452
Canada,4,0.8717151,0.8717,1,0.21885295,0.120578339,0.20164436,0.204460849
United Kingdom,4,-3.11487E-06,0.8717,0,0.239500223,0.100696163,0.14131241,0.232797535
United Kingdom,4,-3.11487E-06,0.8717,0,0.277395915,0.110162549,0.173995967,0.260526245
